scenario,workload,init,weather,d_min,q_kW,q_pct_of_base,P_base_kW,cop_ref,peak_T_j_C,peak_T_f_C
S2,burst,precooled,dry,30,241.83514600909274,83.89654726981782,288.2539912296177,3.7986213,85.0,35.0
S2,burst,precooled,dry,45,160.91814412870002,55.82512264349382,288.2539912296177,3.7986213,85.0,35.0
S2,burst,precooled,dry,60,120.41144004997282,41.77268787721843,288.2539912296177,3.7986213,85.0,35.0
S2,burst,precooled,humid,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,76.62962392589446,22.61207574381458
S2,burst,precooled,humid,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,27.01112764131316
S2,burst,precooled,humid,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,30.03899915916345
S2,burst,precooled,humid,20,262.7392404186224,91.14851776998614,288.2539912296177,3.7986213,85.0,35.0
S2,burst,precooled,humid,30,165.7866611203122,57.514090407945005,288.2539912296177,3.7986213,85.0,35.0
S2,burst,precooled,humid,45,110.16023925575311,38.21637951510671,288.2539912296177,3.7986213,85.0,35.0
S2,burst,precooled,humid,60,82.42736688769158,28.595394823876518,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,nominal,dry,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,77.48347817606579,23.45394805414143
S3,nominal,nominal,dry,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,24.64821574419025
S3,nominal,nominal,dry,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,27.98154994109868
S3,nominal,nominal,dry,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,81.84247699556559,32.21345638684807
S3,nominal,nominal,dry,30,223.9999847526917,77.70923961786794,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,nominal,dry,45,148.9155626345274,51.66123181826268,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,nominal,dry,60,111.42958857039788,38.65673744709233,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,nominal,humid,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,77.48347817606579,23.45394805414143
S3,nominal,nominal,humid,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,24.64821574419025
S3,nominal,nominal,humid,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,27.98154994109868
S3,nominal,nominal,humid,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,81.84247699556559,32.21345638684807
S3,nominal,nominal,humid,30,223.9999847526917,77.70923961786794,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,nominal,humid,45,148.9155626345274,51.66123181826268,288.2539912296177,3.7986213,85.0,35.0
