variant,week,date,seed,revenue_usd,rebound_usd,penalty_usd,dwear_usd,shortfall_kWh,mv,sum_q_kW,delivery_ratio,warm,viol_K
single005,w03-jan-scarcity,2024-01-16,3,288.02479201630223,19.957889335944174,0.0,-23.896057330611896,0.0,291.96296001096994,757.2828229643818,1.0,2,0.0
ctxfree,w03-jan-scarcity,2024-01-16,3,276.1866466121137,-5.677623961728386,0.0,-27.140429956405015,0.0,309.0047005302471,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-16,4,288.02479201630223,20.46513125025649,0.0,-30.493622218294263,0.0,298.05328298434006,757.2828229643818,1.0,0,0.0
ctxfree,w03-jan-scarcity,2024-01-16,4,276.1866466121137,-5.4863119525139155,0.0,-22.71790720911322,0.0,304.39086577374087,812.6222022086596,1.0,0,0.0
single005,w03-jan-scarcity,2024-01-16,5,288.02479201630223,18.940558499413783,0.0,-48.103595736438315,0.0,317.18782925332664,757.2828229643818,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-16,5,276.1866466121137,-4.285160245870884,0.0,-45.926633283565174,0.0,326.3984401415497,812.6222022086596,,0,0.0
single005,w03-jan-scarcity,2024-01-16,6,288.02479201630223,22.534333998916964,64.79223210619178,-30.736278775141585,21.597410702063925,231.4345046863349,757.2828229643818,0.7244699140284948,2,1.5219573817503118
ctxfree,w03-jan-scarcity,2024-01-16,6,276.1866466121137,0.6726731881690284,87.69655178228513,-23.5261886372071,29.232183927428373,211.34361027886655,812.6222022086596,0.7362004776407807,3,0.7228916697026904
single005,w03-jan-scarcity,2024-01-16,7,288.02479201630223,16.11287866810278,0.0,-13.973199524131253,0.0,285.88511287233075,757.2828229643818,1.0,2,0.0
ctxfree,w03-jan-scarcity,2024-01-16,7,276.1866466121137,15.959397679038148,0.0,-1.4756323060492775,0.0,261.70288123912474,812.6222022086596,1.0,2,0.0
single005,w03-jan-scarcity,2024-01-16,8,288.02479201630223,17.125105480204525,0.0,-21.93383162704773,0.0,292.8335181631454,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-16,8,276.1866466121137,-26.72610258671625,0.0,-25.93618800329382,0.0,328.8489372021238,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-16,9,288.02479201630223,12.122182592197987,0.0,-13.37827113268824,0.0,289.28088055679234,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-16,9,276.1866466121137,-4.801859971581507,0.0,-24.22232083452535,0.0,305.21082741822056,812.6222022086596,,0,0.0
single005,w03-jan-scarcity,2024-01-16,10,288.02479201630223,25.431927076081365,0.6905709352681239,22.031569786047854,4.6660198328927285,239.8707242189048,757.2828229643818,0.9676160795393456,3,0.0
ctxfree,w03-jan-scarcity,2024-01-16,10,276.1866466121137,-4.905229171892529,1.5617013385996876,21.24420244074733,10.552036071619511,258.28597200465924,812.6222022086596,0.9285815742713301,3,0.0
single005,w03-jan-scarcity,2024-01-16,11,288.02479201630223,20.324691279725243,0.0,-40.79351094376415,0.0,308.493611680341,757.2828229643818,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-16,11,276.1866466121137,15.694362500019338,0.0,-7.118913020796583,0.0,267.6111971328909,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-16,12,288.02479201630223,19.539566976340893,0.0,-20.952450467451072,0.0,289.43767550741245,757.2828229643818,1.0,3,0.0
ctxfree,w03-jan-scarcity,2024-01-16,12,276.1866466121137,-21.60491777750599,0.0,-24.183036314906815,0.0,321.97460070452655,812.6222022086596,1.0,3,0.0
single005,w03-jan-scarcity,2024-01-16,13,288.02479201630223,20.9115992736605,0.0,-29.038371217481043,0.0,296.15156396012264,757.2828229643818,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-16,13,276.1866466121137,-7.1401449744071215,0.0,-17.768808943418826,0.0,301.0956005299396,812.6222022086596,,0,0.0
single005,w03-jan-scarcity,2024-01-16,14,288.02479201630223,19.89030398028399,0.0,-36.37191421527869,0.0,304.506402251297,757.2828229643818,1.0,0,0.0
ctxfree,w03-jan-scarcity,2024-01-16,14,276.1866466121137,17.365607335233108,0.0,-16.82459063838205,0.0,275.6456299152627,812.6222022086596,1.0,2,0.0
single005,w03-jan-scarcity,2024-01-16,15,288.02479201630223,21.304633042930618,0.0,-13.909235162194989,0.0,280.6293941355667,757.2828229643818,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-16,15,276.1866466121137,-7.734717309928442,0.0,-26.861263449302236,0.0,310.78262737134446,812.6222022086596,,0,0.0
single005,w03-jan-scarcity,2024-01-16,16,288.02479201630223,14.342915284427022,0.0,-18.569100598455357,0.0,292.25097733033056,757.2828229643818,1.0,2,0.0
ctxfree,w03-jan-scarcity,2024-01-16,16,276.1866466121137,-5.187926956947081,0.0,-37.340196109261775,0.0,318.71476967832245,812.6222022086596,,0,0.0
