week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd
mild,2024-04-01,16,B4,0.0,0.0,101.83601160438624,0.0,87.58528115191643,-189.42129275630268,0.0,,0,0,0.0,6,0,0,0.0,0.0
mild,2024-04-01,16,B5,950.0,7.651000000000001,1.0795833333333333,0.0,0.0,-1.647761415525114,0.0,1.0,0,0,0.0,0,0,0,-1.647761415525114,0.0
mild,2024-04-01,16,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-01,17,B1,0.0,0.0,102.036807126971,0.0,55.66420186784508,-157.70100899481608,0.0,,0,0,0.0,5,0,0,0.0,0.0
mild,2024-04-01,17,B2,60.17189456657972,1.5175351809691402,101.98384705502609,0.0,53.40614559369523,-153.87245746775218,0.0,,0,0,0.0,5,0,0,3.828551527063894,-0.05296007194490926
mild,2024-04-01,17,B3,0.0,0.0,102.01995367006636,0.0,55.162147742027265,-157.18210141209363,0.0,,0,0,0.0,5,0,0,0.5189075827224485,-0.01685345690464146
mild,2024-04-01,17,B4,0.0,0.0,102.036807126971,0.0,55.66420186784508,-157.70100899481608,0.0,,0,0,0.0,5,0,0,0.0,0.0
mild,2024-04-01,17,B5,950.0,7.651000000000001,2.0836805555555555,0.0,0.0,-2.6518586377473365,0.0,1.0,0,0,0.0,0,0,0,-2.6518586377473365,0.0
mild,2024-04-01,17,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0.0,0,0,0,2.5269999999999992,0.0
mild,2024-04-01,18,B1,0.0,0.0,102.22043369127483,0.0,89.38767589994629,-191.60810959122114,0.0,,0,0,0.0,5,0,0,0.0,0.0
mild,2024-04-01,18,B2,60.17189456657972,1.5175351809691402,102.17316324015617,0.0,86.59384224751977,-187.24947030670683,0.0,,0,0,0.0,5,0,0,4.358639284514311,-0.04727045111866346
mild,2024-04-01,18,B3,0.0,0.0,102.20357941573305,0.0,88.40042185782022,-190.60400127355325,0.0,,0,0,0.0,5,0,0,1.0041083176678853,-0.016854275541788866
mild,2024-04-01,18,B4,0.0,0.0,102.22043369127483,0.0,89.38767589994629,-191.60810959122114,0.0,,0,0,0.0,5,0,0,0.0,0.0
mild,2024-04-01,18,B5,950.0,7.651000000000001,0.9013888888888889,0.0,0.0,-1.4695669710806696,0.0,1.0,0,0,0.0,0,0,0,-1.4695669710806696,0.0
mild,2024-04-01,18,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0.0,0,0,0,10.027,0.0
mild,2024-04-01,19,B1,0.0,0.0,100.87786844585067,0.0,31.81348044789932,-132.69134889375,0.0,,0,0,0.0,5,0,0,0.0,0.0
mild,2024-04-01,19,B2,60.17189456657972,1.5175351809691402,100.82717139367584,0.0,29.94534990877059,-129.2549861214773,0.0,,0,0,0.0,7,0,0,3.4363627722727017,-0.050697052174825785
mild,2024-04-01,19,B3,0.0,0.0,100.86091181727735,0.0,31.16173875703862,-132.02265057431597,0.0,,0,0,0.0,5,0,0,0.6686983194340144,-0.01695662857331115
mild,2024-04-01,19,B4,0.0,0.0,100.87786844585067,0.0,31.81348044789932,-132.69134889375,0.0,,0,0,0.0,5,0,0,0.0,0.0
mild,2024-04-01,19,B5,950.0,7.651000000000001,1.785763888888889,0.0,0.0,-2.35394197108067,0.0,1.0,0,0,0.0,0,0,0,-2.35394197108067,0.0
