week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,kappa
mild,2024-04-01,12,B2,0.0,0.0,102.75738011382099,0.0,40.65907150518779,-143.41645161900877,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.20058054358059962,-0.058071191493922925,1.0
mild,2024-04-01,12,B3,0.0,0.0,102.79305708762318,0.0,40.721803679701964,-143.51486076732516,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.10217139526420738,-0.022394217691726226,1.0
mild,2024-04-01,12,B4,0.0,0.0,102.81545130531491,0.0,40.801580857274466,-143.61703216258937,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,12,B5,950.0,7.651000000000001,1.3375694444444444,0.0,0.0,-1.9057475266362252,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.9057475266362252,0.0,1.0
mild,2024-04-01,12,B6,500.0,10.027,15.0,0.0,0.0,-4.973000000000001,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-4.973000000000001,0.0,1.0
mild,2024-04-01,13,B1,0.0,0.0,100.95743318587338,0.0,21.756273110984743,-122.71370629685813,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,13,B2,0.0,0.0,100.89936199437945,0.0,21.541770764630503,-122.44113275900995,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.2725735378481886,-0.058071191493937135,1.0
mild,2024-04-01,13,B3,0.0,0.0,100.93503896818163,0.0,21.6497785115317,-122.58481747971334,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.12888881714479794,-0.022394217691754648,1.0
mild,2024-04-01,13,B4,0.0,0.0,100.95743318587338,0.0,21.756273110984743,-122.71370629685813,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,13,B5,950.0,7.651000000000001,3.0076388888888888,0.0,0.0,-3.5758169710806698,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.5758169710806698,0.0,1.0
mild,2024-04-01,13,B6,500.0,10.027,15.0,0.0,0.0,-4.973000000000001,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-4.973000000000001,0.0,1.0
mild,2024-04-01,14,B1,0.0,0.0,102.0949860405739,0.0,26.30628733928003,-128.40127337985393,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,14,B2,0.0,0.0,102.03691484907996,0.0,26.107359070562556,-128.14427391964253,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.25699946021140363,-0.058071191493937135,1.0
mild,2024-04-01,14,B3,0.0,0.0,102.07259182288215,0.0,26.229573863284543,-128.3021656861667,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.09910769368724459,-0.022394217691754648,1.0
mild,2024-04-01,14,B4,0.0,0.0,102.0949860405739,0.0,26.30628733928003,-128.40127337985393,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,14,B5,950.0,7.651000000000001,0.7695138888888888,0.0,0.0,-1.3376919710806696,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.3376919710806696,0.0,1.0
mild,2024-04-01,14,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,2.5269999999999992,0.0,1.0
mild,2024-04-01,15,B1,0.0,0.0,101.16773849728919,0.0,28.526408821965116,-129.6941473192543,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,15,B2,0.0,0.0,101.10966730579526,0.0,28.383899525404335,-129.4935668311996,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.20058048805472595,-0.058071191493937135,1.0
mild,2024-04-01,15,B3,0.0,0.0,101.14534427959744,0.0,28.446631665805278,-129.5919759454027,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.10217137385160413,-0.022394217691754648,1.0
mild,2024-04-01,15,B4,0.0,0.0,101.16773849728919,0.0,28.526408821965116,-129.6941473192543,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,15,B5,950.0,7.651000000000001,0.41597222222222224,0.0,0.0,-0.984150304414003,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-0.984150304414003,0.0,1.0
mild,2024-04-01,15,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,10.027,0.0,1.0
mild,2024-04-01,16,B1,0.0,0.0,101.88014646628082,0.0,37.76371492459418,-139.643861390875,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,16,B2,0.0,0.0,101.82207527478688,0.0,37.75686038582474,-139.57893566061162,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.06492573026338277,-0.058071191493937135,1.0
mild,2024-04-01,16,B3,0.0,0.0,101.85775224858907,0.0,37.76107158235459,-139.61882383094365,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.025037559931348596,-0.022394217691754648,1.0
mild,2024-04-01,16,B4,0.0,0.0,101.88014646628082,0.0,37.76371492459418,-139.643861390875,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,16,B5,950.0,7.651000000000001,1.0795833333333333,0.0,0.0,-1.647761415525114,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.647761415525114,0.0,1.0
mild,2024-04-01,16,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,2.5269999999999992,0.0,1.0
mild,2024-04-01,17,B1,0.0,0.0,102.13908327111247,0.0,25.75434365217467,-127.89342692328714,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,17,B2,0.0,0.0,102.08101207961853,0.0,25.75159077791627,-127.8326028575348,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.06082406575234245,-0.058071191493937135,1.0
mild,2024-04-01,17,B3,0.0,0.0,102.11668905342074,0.0,25.753282050650142,-127.86997110407088,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.023455819216252394,-0.022394217691726226,1.0
mild,2024-04-01,17,B4,0.0,0.0,102.13908327111247,0.0,25.75434365217467,-127.89342692328714,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,17,B5,950.0,7.651000000000001,2.0836805555555555,0.0,0.0,-2.6518586377473365,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-2.6518586377473365,0.0,1.0
mild,2024-04-01,17,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,2.5269999999999992,0.0,1.0
mild,2024-04-01,18,B1,0.0,0.0,102.18635825731178,0.0,35.52597894526945,-137.71233720258124,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,18,B2,0.0,0.0,102.12828706581784,0.0,35.311476574609735,-137.43976364042757,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.2725735621536671,-0.058071191493937135,1.0
mild,2024-04-01,18,B3,0.0,0.0,102.16396403962005,0.0,35.419484336443396,-137.58344837606344,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.12888882651779454,-0.022394217691726226,1.0
mild,2024-04-01,18,B4,0.0,0.0,102.18635825731178,0.0,35.52597894526945,-137.71233720258124,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,18,B5,950.0,7.651000000000001,0.9013888888888889,0.0,0.0,-1.4695669710806696,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.4695669710806696,0.0,1.0
mild,2024-04-01,18,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,10.027,0.0,1.0
