week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,n_safety_episodes,n_safety_episodes_in_safe_box,safety_episode_max_K,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,12,B1,0.0,0.0,452.9321334543813,0.0,117.25573818939841,-570.1878716437798,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,24,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B2,517.520285267172,6.955472633990791,452.43428468502157,0.648923253297217,143.058859144691,-589.186594449019,24.304241696524983,0.8121484904965391,1,1,0,0,0,1,0,0,0.0,2.2213763589123516,24,0,1,-18.998722805239254,-0.49784876935973443,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B3,248.8006451974789,3.4023488230755246,452.2040411693409,0.0,126.8208989061997,-575.6225912524651,0.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,23,0,0,-5.434719608685327,-0.7280922850404181,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B4,215.53909605485802,2.8968327259668514,452.3542019895421,0.0,123.26274607181495,-572.7201153353901,0.0,1.0,1,0,0,0,0,1,0,0,0.0,0.0,23,0,1,-2.532243691610347,-0.577931464839196,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-8.545386415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,12,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,13,B1,0.0,0.0,436.4315547730816,0.0,58.87978994095256,-495.31134471403413,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,21,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,13,B2,517.520285267172,6.955472633990791,435.76436194902914,0.0,50.62055987307021,-479.42944918810855,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,15.881895525925586,-0.6671928240524494,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,13,B3,248.8006451974789,3.4023488230755246,435.63178695177027,0.0,57.613741694519014,-489.8431798232138,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,5.468164890820333,-0.7997678213113204,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,13,B4,215.53909605485802,2.8968327259668514,435.76436194902914,0.0,50.62055987307021,-483.48808909613246,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,11.82325561790168,-0.6671928240524494,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,13,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-6.125178082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,13,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,4.088,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,14,B1,0.0,0.0,452.0212289782395,0.0,119.17660900907565,-571.1978379873151,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,22,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,14,B2,517.520285267172,6.955472633990791,451.55306544460177,1.333948852652772,145.9877565668894,-591.9192982301531,49.96063118549708,0.6138460067534961,1,1,0,0,0,1,0,0,0.0,6.583782856255226,22,0,1,-20.72146024283802,-0.46816353363772123,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,14,B3,248.8006451974789,3.4023488230755246,451.3213884331013,0.051194936316760795,124.13642844858428,-572.1066629949268,1.9174133451970337,0.969173498827945,1,1,0,0,0,0,0,0,0.0,2.8349816296364168,21,0,0,-0.9088250076116537,-0.6998405451382155,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,14,B4,215.53909605485802,2.8968327259668514,451.38532739317924,0.3522043760409249,125.66104129423393,-574.5017403374871,13.19117513261891,0.7553570944730696,1,1,1,0,0,1,0,0,0.0,0.0,22,0,1,-3.303902350172052,-0.6359015850602532,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,14,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-8.545386415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,14,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
